thermo_style    custom step time temp ke pe etotal press vol f_tpi[1]
run             500000
Per MPI rank memory allocation (min/avg/max) = 3.654 | 3.654 | 3.654 Mbytes
Step Time Temp KinEng PotEng TotEng Press Volume f_tpi[1] 
   16800         33.6    1.3809697    2.0693831   -4.7533186   -2.6839354    2.0939682    1315.7895   0.72536054 
   16850         33.7     1.358789    2.0361452   -4.7335301   -2.6973849    2.1530874    1315.7895    5.9619081 
   16900         33.8    1.4300691    2.1429585   -4.7447329   -2.6017744    2.1694378    1315.7895   0.25664302 
   16950         33.9    1.3833182    2.0729023    -4.714514   -2.6416116      2.22652    1315.7895   0.59715342 
   17000           34    1.3523239    2.0264574   -4.7279041   -2.7014467    2.0984418    1315.7895    1.9829121 
   17050         34.1    1.4098673    2.1126861   -4.7688213   -2.6561353    2.0035606    1315.7895    7.0635879 
   17100         34.2    1.4070745    2.1085011   -4.7239745   -2.6154733    2.3079588    1315.7895   0.31747585 
   17150         34.3    1.4439509    2.1637604   -4.6971184    -2.533358    2.4376916    1315.7895    -1.782625 
   17200         34.4    1.4494594    2.1720148    -4.715504   -2.5434891    2.3957547    1315.7895    8.5421997 
   17250         34.5     1.423746    2.1334833   -4.7552231   -2.6217398    2.1844299    1315.7895   0.88587428 
   17300         34.6    1.3494119    2.0220937     -4.67898   -2.6568863    2.4157974    1315.7895    2.8090662 
   17350         34.7    1.4337313    2.1484463   -4.7796968   -2.6312504    2.0252985    1315.7895     1.359242 
   17400         34.8    1.4068444    2.1081564    -4.732538   -2.6243816     2.197505    1315.7895    5.1233486 
   17450         34.9    1.4463362    2.1673348   -4.7133337    -2.545999    2.3689513    1315.7895     9.078471 
   17500           35    1.3661999    2.0472505   -4.6423597   -2.5951093    2.6288221    1315.7895  -0.63363268 
   17550         35.1    1.4021509    2.1011231   -4.6983439   -2.5972209    2.3774498    1315.7895    2.3093228 
   17600         35.2    1.4315409     2.145164   -4.6938736   -2.5487096    2.4205298    1315.7895    9.1212101 
